A5A616	query_prot GO:0022857 0.11654 transmembrane transporter activity
A5A616	query_prot GO:0005215 0.11003 transporter activity
A5A616	query_prot GO:0008509 0.10087 anion transmembrane transporter activity
A5A616	query_prot GO:0016021 0.90250 integral component of membrane
A5A616	query_prot GO:0031224 0.90109 intrinsic component of membrane
A5A616	query_prot GO:0005740 0.53938 mitochondrial envelope
A5A616	query_prot GO:0031966 0.49099 mitochondrial membrane
A5A616	query_prot GO:0031975 0.48301 envelope
A5A616	query_prot GO:0005739 0.47678 mitochondrion
A5A616	query_prot GO:0031967 0.38923 organelle envelope
A5A616	query_prot GO:0031090 0.35707 organelle membrane
A5A616	query_prot GO:0005743 0.34423 mitochondrial inner membrane
A5A616	query_prot GO:0098796 0.32190 membrane protein complex
A5A616	query_prot GO:0019866 0.30980 organelle inner membrane
A5A616	query_prot GO:0070469 0.29014 respirasome
A5A616	query_prot GO:0071944 0.16090 cell periphery
A5A616	query_prot GO:0005886 0.15973 plasma membrane
A5A616	query_prot GO:0051234 0.50828 establishment of localization
A5A616	query_prot GO:0006810 0.50025 transport
A5A616	query_prot GO:0006811 0.46146 ion transport
A5A616	query_prot GO:0006820 0.31303 anion transport
A5A616	query_prot GO:0055085 0.30372 transmembrane transport
A5A616	query_prot GO:0071702 0.30270 organic substance transport
A5A616	query_prot GO:0034220 0.27474 ion transmembrane transport
A5A616	query_prot GO:0033036 0.25056 macromolecule localization
A5A616	query_prot GO:0071705 0.24478 nitrogen compound transport
A5A616	query_prot GO:0016043 0.22895 cellular component organization
A5A616	query_prot GO:0006812 0.21250 cation transport
A5A616	query_prot GO:0008104 0.20743 protein localization
A5A616	query_prot GO:0051641 0.20222 cellular localization
A5A616	query_prot GO:0042886 0.19427 amide transport
A5A616	query_prot GO:0045184 0.18928 establishment of protein localization
A5A616	query_prot GO:0051649 0.18607 establishment of localization in cell
A5A616	query_prot GO:0015833 0.18474 peptide transport
A5A616	query_prot GO:0098655 0.18368 cation transmembrane transport
A5A616	query_prot GO:0015031 0.18279 protein transport
A5A616	query_prot GO:0051716 0.18175 cellular response to stimulus
A5A616	query_prot GO:0098660 0.18122 inorganic ion transmembrane transport
A5A616	query_prot GO:0007154 0.17634 cell communication
A5A616	query_prot GO:0098662 0.17589 inorganic cation transmembrane transport
A5A616	query_prot GO:0023052 0.17115 signaling
A5A616	query_prot GO:0032501 0.15841 multicellular organismal process
A5A616	query_prot GO:0006996 0.15745 organelle organization
A5A616	query_prot GO:0007165 0.15741 signal transduction
A5A616	query_prot GO:0046907 0.14876 intracellular transport
A5A616	query_prot GO:0032502 0.14316 developmental process
A5A616	query_prot GO:0048856 0.13732 anatomical structure development
A5A616	query_prot GO:0098656 0.13084 anion transmembrane transport
